state_ut,district,year,murder,attempt_to_murder,culpable_homicide_not_amounting_to_murder,rape,custodial_rape,other_rape,kidnapping_abduction,kidnapping_and_abduction_of_women_and_girls,kidnapping_and_abduction_of_others,dacoity,preparation_and_assembly_for_dacoity,robbery,burglary,theft,auto_theft,other_theft,riots,criminal_breach_of_trust,cheating,counterfieting,arson,hurt_grevious_hurt,dowry_deaths,assault_on_women_with_intent_to_outrage_her_modesty,insult_to_modesty_of_women,cruelty_by_husband_or_his_relatives,importation_of_girls_from_foreign_countries,causing_death_by_negligence,other_ipc_crimes,total_ipc_crimes
Andhra Pradesh,ADILABAD,2013,96,72,132,12,FALSE,61,65,47,18,43,53,54,274,377,86,67,58,93,254,1,30,2394,12,197,138,464,0,23,1390,6381
Andhra Pradesh,ANANTAPUR,2013,156,149,NaN,28,FALSE,28,110,84,26,NaN,NaN,23,279,597,154,443,56,5,160,NaN,29,2537,23,337,43,161,0,NaN,1634,6913
Andhra Pradesh,CHITTOOR,2013,72,61,NaN,31,FALSE,31,52,27,25,NaN,NaN,11,157,512,158,354,57,17,238,NaN,18,937,13,119,84,435,0,NaN,2239,5610
Andhra Pradesh,CUDDAPAH,2013,93,107,NaN,19,FALSE,19,84,50,34,NaN,NaN,9,220,702,255,447,156,81,317,NaN,34,2310,9,318,163,207,0,NaN,1741,7048
Andhra Pradesh,CYBERABAD,2013,162,123,NaN,138,FALSE,138,192,129,63,NaN,NaN,89,1318,4779,1761,3018,34,179,2111,NaN,40,4284,43,NaN,338,1526,0,NaN,3139,19992
Andhra Pradesh,EAST GODAVARI,2013,68,71,NaN,74,FALSE,74,63,33,30,NaN,NaN,15,326,788,310,478,50,86,222,NaN,21,2300,15,352,222,483,0,525,1082,6779
Andhra Pradesh,GUNTAKAL RLY.,2013,2,0,NaN,0,FALSE,0,0,0,0,NaN,NaN,0,0,251,0,251,0,0,3,NaN,1,11,0,3,2,0,0,0,24,NaN
Andhra Pradesh,GUNTUR,2013,110,87,NaN,38,FALSE,38,61,54,7,NaN,NaN,21,192,675,200,475,41,41,305,NaN,21,2345,16,296,135,NaN,0,449,1569,7026
Andhra Pradesh,GUNTUR URBAN,2013,44,51,NaN,28,FALSE,28,46,34,12,NaN,NaN,26,190,991,408,583,11,15,372,NaN,14,1180,7,NaN,93,326,0,226,1123,4878
Andhra Pradesh,HYDERABAD CITY,2013,120,145,NaN,101,FALSE,101,131,52,79,NaN,NaN,47,658,4166,1353,2813,118,75,2382,NaN,62,3092,39,225,90,1480,0,527,2839,16355
Andhra Pradesh,KARIMNAGAR,2013,101,89,NaN,57,FALSE,57,118,103,15,NaN,NaN,20,349,771,242,529,96,120,706,NaN,45,2593,39,354,276,670,0,NaN,1881,8836
Andhra Pradesh,KHAMMAM,2013,103,99,NaN,100,FALSE,100,114,104,10,NaN,NaN,16,455,887,340,547,135,52,636,NaN,42,2268,15,254,297,768,0,483,3864,10607
Andhra Pradesh,KRISHNA,2013,56,46,NaN,58,FALSE,58,54,37,17,NaN,NaN,18,316,579,154,425,15,31,203,NaN,45,2596,14,387,274,708,0,404,1059,6876
Andhra Pradesh,KURNOOL,2013,127,175,NaN,26,FALSE,26,72,50,22,NaN,NaN,27,252,565,21,544,128,16,506,NaN,35,2531,11,NaN,199,NaN,0,478,1852,7595
Andhra Pradesh,MAHABOOBNAGAR,2013,191,69,NaN,117,FALSE,117,90,63,27,NaN,NaN,18,394,1207,13,1194,NaN,52,269,NaN,56,2381,33,219,98,234,0,756,1733,8092
Andhra Pradesh,MEDAK,2013,128,77,NaN,64,FALSE,64,44,38,6,NaN,NaN,14,414,775,245,530,45,25,358,NaN,58,1970,25,169,73,476,0,733,1591,7054
Andhra Pradesh,NALGONDA,2013,98,100,NaN,77,FALSE,77,118,110,8,NaN,NaN,27,375,810,244,566,231,91,499,NaN,49,3315,27,367,313,327,0,746,2701,10291
Andhra Pradesh,NELLORE,2013,99,110,NaN,26,FALSE,26,95,81,14,NaN,NaN,41,364,1077,323,754,29,129,223,NaN,29,2533,8,NaN,221,374,0,455,1239,7326
Andhra Pradesh,NIZAMABAD,2013,117,56,NaN,49,FALSE,49,54,33,21,NaN,NaN,18,480,1035,338,697,84,41,373,NaN,60,1796,17,142,295,732,0,572,1720,7662
Andhra Pradesh,PRAKASHAM,2013,77,101,NaN,39,FALSE,39,65,57,8,NaN,NaN,30,238,694,233,461,93,81,294,NaN,27,2274,8,298,26,484,0,492,1061,NaN
Andhra Pradesh,RAJAHMUNDRY,2013,14,15,NaN,14,FALSE,14,15,4,11,NaN,NaN,18,160,314,132,182,12,22,48,NaN,11,757,2,67,68,NaN,0,NaN,365,2251
Andhra Pradesh,RANGA REDDY,2013,80,47,NaN,37,FALSE,37,25,25,0,NaN,NaN,13,96,173,17,156,18,9,94,NaN,25,626,14,69,23,168,0,182,482,2191
Andhra Pradesh,SECUNDERABAD RLY.,2013,7,2,NaN,0,FALSE,0,2,2,0,NaN,NaN,1,0,737,0,737,0,1,11,NaN,0,10,0,NaN,0,0,0,2,60,849
Andhra Pradesh,SRIKAKULAM,2013,35,49,NaN,42,FALSE,42,26,23,3,NaN,NaN,11,190,307,72,235,22,15,153,NaN,31,1124,3,207,129,361,0,319,1814,4841
Andhra Pradesh,TIRUPATHI URBAN,2013,26,21,NaN,10,FALSE,10,22,15,7,NaN,NaN,NaN,190,827,326,501,22,3,197,NaN,4,565,7,45,31,133,0,200,502,2821
Andhra Pradesh,VIJAYAWADA CITY,2013,29,55,NaN,48,FALSE,48,72,45,27,NaN,NaN,66,323,2173,783,1390,6,124,459,NaN,24,1955,12,249,456,1227,0,325,1359,8978
Andhra Pradesh,VIJAYAWADA RLY.,2013,6,2,NaN,1,FALSE,1,1,1,0,NaN,NaN,9,0,625,0,625,1,1,3,NaN,0,11,2,6,5,0,0,0,44,773
Andhra Pradesh,VISAKHA RURAL,2013,46,41,NaN,32,FALSE,32,30,23,7,NaN,NaN,5,132,329,31,298,46,6,113,NaN,27,1137,8,139,79,210,0,302,548,3238
Andhra Pradesh,VISAKHAPATNAM,2013,30,50,NaN,67,FALSE,67,58,50,8,NaN,NaN,26,355,1203,332,871,9,64,336,NaN,21,1356,8,149,100,548,0,379,2009,6775
Andhra Pradesh,VIZIANAGARAM,2013,30,38,NaN,42,FALSE,42,25,25,0,NaN,NaN,7,180,230,2,NaN,30,18,124,NaN,13,1609,10,165,95,383,0,289,1624,4918
Andhra Pradesh,WARANGAL,2013,52,54,NaN,52,FALSE,52,63,63,0,NaN,NaN,17,256,327,17,310,140,3,237,NaN,0,1789,20,NaN,10,129,0,290,1769,5421
Andhra Pradesh,WARANGAL URBAN,2013,24,20,NaN,36,FALSE,36,56,47,9,NaN,NaN,18,197,459,179,280,51,2,363,NaN,20,1442,16,127,81,NaN,0,198,1131,4440
Andhra Pradesh,WEST GODAVARI,2013,85,67,NaN,123,FALSE,123,96,86,10,NaN,NaN,19,490,1090,311,779,NaN,57,446,NaN,40,2460,16,342,245,855,0,NaN,1456,8498
Andhra Pradesh,ZZ TOTAL,2013,2484,2249,NaN,1635,FALSE,1635,2119,1595,524,NaN,NaN,709,9820,31032,9040,21992,1944,1555,13015,NaN,932,60488,492,6930,4702,15084,0,13641,48644,218015
Arunachal Pradesh,ANJAW,2013,2,0,NaN,NaN,FALSE,0,0,0,0,NaN,NaN,1,2,6,0,6,0,0,1,NaN,0,5,0,NaN,NaN,0,0,6,5,28
Arunachal Pradesh,CHANGLANG,2013,4,2,NaN,5,FALSE,5,11,5,6,NaN,NaN,9,15,32,3,29,4,3,5,NaN,1,24,0,2,NaN,1,0,4,64,189
Arunachal Pradesh,DIBANG VALLEY,2013,2,4,NaN,0,FALSE,0,2,1,1,NaN,NaN,5,10,17,3,14,1,1,1,NaN,1,13,0,2,NaN,0,0,6,26,NaN
Arunachal Pradesh,K/KUMEY,2013,2,2,NaN,0,FALSE,0,1,1,0,NaN,NaN,0,3,4,0,4,2,2,1,NaN,0,10,0,1,NaN,0,0,1,12,41
Arunachal Pradesh,KAMENG EAST,2013,5,4,NaN,2,FALSE,2,16,12,4,NaN,NaN,0,12,22,0,22,2,0,3,NaN,0,57,0,NaN,NaN,0,0,4,33,169
Arunachal Pradesh,KAMENG WEST,2013,8,0,NaN,2,FALSE,2,3,0,3,NaN,NaN,2,14,35,12,23,1,2,1,NaN,0,6,0,0,NaN,0,0,10,78,164
Arunachal Pradesh,LOHIT,2013,12,4,NaN,10,FALSE,10,29,22,7,NaN,NaN,9,18,57,14,43,7,1,2,NaN,2,61,0,10,NaN,2,0,18,85,330
Arunachal Pradesh,LONGDING,2013,2,1,NaN,1,FALSE,1,3,2,1,NaN,NaN,0,6,11,0,11,0,0,1,NaN,0,23,0,2,NaN,NaN,0,2,26,78
Arunachal Pradesh,PAPUM PARE,2013,5,4,NaN,18,FALSE,18,44,22,22,NaN,NaN,14,46,148,87,61,3,9,35,NaN,7,63,0,24,NaN,20,0,12,143,600
Arunachal Pradesh,RURAL,2013,1,3,NaN,3,FALSE,3,9,5,4,NaN,NaN,4,5,22,6,16,2,0,3,NaN,1,22,0,5,NaN,1,0,NaN,22,109
Arunachal Pradesh,SIANG EAST,2013,6,0,NaN,10,FALSE,10,6,2,4,NaN,NaN,7,17,61,11,50,2,0,5,NaN,0,34,0,6,NaN,1,0,14,47,217
Arunachal Pradesh,SIANG UPPER,2013,3,1,NaN,0,FALSE,0,2,2,0,NaN,NaN,2,5,12,1,11,0,2,1,NaN,1,19,0,4,NaN,0,0,2,15,69
Arunachal Pradesh,SIANG WEST,2013,4,4,NaN,7,FALSE,7,6,6,0,NaN,NaN,10,17,34,8,26,8,2,5,NaN,2,65,0,NaN,NaN,3,0,35,46,263
Arunachal Pradesh,SUBANSIRI LOWER,2013,4,1,NaN,5,FALSE,5,0,0,0,NaN,NaN,3,8,18,3,15,2,0,4,NaN,1,27,0,3,NaN,0,0,0,32,109
Arunachal Pradesh,SUBANSIRI UPPER,2013,6,0,NaN,10,FALSE,10,5,2,3,NaN,NaN,2,5,10,1,9,1,2,1,NaN,6,45,0,8,NaN,0,0,2,58,164
Arunachal Pradesh,TAWANG,2013,0,0,NaN,2,FALSE,2,1,1,0,NaN,NaN,0,3,11,0,11,0,0,1,NaN,0,7,0,NaN,NaN,1,0,7,8,47
Arunachal Pradesh,TIRAP,2013,2,5,NaN,0,FALSE,0,3,2,1,NaN,NaN,7,10,13,4,9,NaN,0,2,NaN,1,13,0,5,NaN,0,0,2,28,NaN
Arunachal Pradesh,UPPER DIBANG VALLEY,2013,1,1,NaN,0,FALSE,0,1,1,0,NaN,NaN,0,0,1,0,1,0,1,0,NaN,0,4,0,0,NaN,0,0,0,6,15
Arunachal Pradesh,ZZ TOTAL,2013,69,36,NaN,75,FALSE,75,142,86,56,NaN,NaN,NaN,196,514,153,361,36,25,72,NaN,23,498,0,93,NaN,29,0,129,734,2776
Assam,BAKSA,2013,42,3,NaN,20,FALSE,20,53,46,7,NaN,NaN,11,40,125,64,61,0,7,23,NaN,4,50,1,9,NaN,NaN,0,33,311,768
Assam,BARPETA,2013,46,18,NaN,148,FALSE,148,349,348,1,NaN,NaN,31,335,433,111,NaN,236,168,230,NaN,19,159,18,341,NaN,1016,0,NaN,4580,8597
Assam,BIEO,2013,0,0,NaN,0,FALSE,0,0,0,0,NaN,NaN,0,0,0,0,0,0,7,0,NaN,0,0,0,0,NaN,0,0,0,0,7
Assam,BONGAIGAON,2013,20,2,NaN,68,FALSE,68,120,95,25,NaN,NaN,8,63,127,65,62,22,15,39,NaN,8,101,9,4,NaN,100,0,82,769,1565
Assam,C.I.D.,2013,1,0,NaN,0,FALSE,0,0,0,0,NaN,NaN,0,0,2,0,2,0,2,37,NaN,0,0,0,0,NaN,0,0,0,16,58
Assam,CACHAR,2013,59,3,NaN,79,FALSE,79,227,221,6,NaN,NaN,17,206,821,336,485,226,54,97,NaN,52,80,12,25,NaN,537,0,94,2278,4880
Assam,CHIRANG,2013,33,0,NaN,30,FALSE,30,70,50,20,NaN,NaN,10,20,76,25,51,35,10,33,NaN,12,5,1,21,NaN,78,0,17,309,763
Assam,DARRANG,2013,35,0,NaN,92,FALSE,92,147,145,2,NaN,NaN,13,145,225,93,132,66,44,118,NaN,5,297,3,NaN,NaN,378,0,63,581,2459
Assam,DHEMAJI,2013,22,17,NaN,42,FALSE,42,99,70,29,NaN,NaN,24,49,148,53,95,24,22,47,NaN,8,232,1,77,NaN,85,0,77,410,1397
